"title","author","date","response"
"168","Re: [片單] 爛到哭笑不得的爛片","tommyting"," 1/03","2"
"169","[討論] 旺角黑夜","DOIMOI"," 1/03","4"
"170","[請益] 臺南沒有上映大眼睛?","breathee"," 1/03","9"
"171","[問片] 三個好姊妹在水上划船","k122146416"," 1/03",""
"172","[好雷]出埃及記 Exodus ","nancynancyli"," 1/03","5"
"173","[片單] 一邊打鬥一邊退掉敵人子彈","pauljet"," 1/03","19"
"174","Re: [片單] 爛到哭笑不得的爛片","DONNY"," 1/03","3"
"175","[好雷] Foxcatcher(狐狸捕手) ","sunny1991225"," 1/03","4"
"176","Re: [有雷] i origins ","diru"," 1/03","1"
"177","[片單] 有沒有類似明日邊界的片子","bbjackson"," 1/03","66"
"178","[請益] 決殺令最後部分","crashtrx"," 1/03","7"
"179","[討論] 有無電影line群可加入！？","love38381"," 1/03","9"
"180","Re: [片單] 爛到哭笑不得的爛片","a0988723921"," 1/03",""
"181","Re: [好雷] 快打旋風: 暗殺拳, 最棒的電玩改編電影!!","rpg"," 1/03","4"
"182","[LIVE] 無敵破壞王 @ 迪士尼頻道","lpbrother"," 1/03","33"
"183","[Live] 冰血奇緣Frozen 21:00首播 星星台","pttnowash"," 1/03","爆"
"184","[問片] 詢問一部港片..好像是殭屍片(仍未找到)","loveyouwei"," 1/03","15"
"185","[請益] 現在想要看魔戒系列","cloud1203"," 1/03","50"
"186","Fw: [閒聊] 不可不知的《大英雄天團》裡的彩蛋(有雷","eapcy"," 1/03","4"
"187","[請益] 大英雄天團 Top of the world 出現片段","onizuka5566"," 1/03","8"
"188","[好雷] 第七傳人有點猛阿","clifton12399"," 1/03","12"
"189","[分享] My 2014 Top10 movies","nicholasJCF"," 1/03","10"
"190","[好雷]《輕輕搖晃》比愛更深刻的，是思念","ivan0511"," 1/03",""
"191","[問題] 錄到鬼4電視播出","csz24680"," 1/03","15"
"192","[閒聊] 關於冰雪奇緣在日本賣很好這件事","hoyunxian"," 1/03","44"
"193","[好雷] 喚起美好的童年回憶 Stand By Me哆啦A夢","kians"," 1/03","4"
"194","[片單] 類似歌喉讚/髮膠明星夢的電影","noreg0380993"," 1/04","30"
"195","Re: [閒聊] 關於冰雪奇緣在日本賣很好這件事","doggy1985"," 1/04","1"
"196","[普雷] 大英雄天團 (Big Hero 6)","hunA"," 1/04","10"
"197","[好雷] 陰莖就是世界的中心──《莫比烏斯》","omomuki"," 1/04","35"
"198","[好雷] 《大眼睛》男人一張嘴的藝術帝國崩毀記 ","geotian"," 1/04","8"
"199","Re: [閒聊] 關於冰雪奇緣在日本賣很好這件事","justice79"," 1/04","8"
"200","[請益] 一部集體舞弊的電影","heartflames"," 1/04","4"
"201","[片單] 想選幾部歷史電影","haokeai"," 1/04","15"
"202","[新聞] 2015最受期待電影 「星戰」居冠","sony577"," 1/04","21"
"203","[好雷] 大英雄天團","jhmiss"," 1/04","13"
"204","[問片] 有關霸凌的港片","bfl821002"," 1/04","17"
"205","[普雷] 表現持平的博物館驚魂夜3","rosen2061"," 1/04","6"
"206","[問片] 以外國武僧擊倒眾壞人為開頭的電影","leo45042003"," 1/04","9"
"207","[負雷] 第七傳人-哈比人三部曲濃縮成一部的樣子","asing1001"," 1/04","5"
"208","[好雷] 瞞天殺機","AnanP"," 1/04","4"
"209","[情報] 2014 國家影評人協會(NSFC) 得獎名單","bill93557063"," 1/04","10"
"210","[新聞] 12部強片 迪士尼可望稱霸2015年","lpbrother"," 1/04","15"
"211","[新聞] 寒假先搶票房 「海綿寶寶」打頭陣","lpbrother"," 1/04","2"
"212","[新聞] 葛妮絲笑猜小辣椒換18歲嫩妹演","lpbrother"," 1/04","15"
"213","Re: [片單] 爛到哭笑不得的爛片","A1bertPujols"," 1/04","7"
"214","[問片] 大約20年前 有關穿越的戰爭老片","SGshinji"," 1/04","4"
"215","Re: [片單] 爛到哭笑不得的爛片","leegiway"," 1/04","1"
"216","[好雷] Under the Skin (2014) 肌膚之侵","hunter7973"," 1/04","4"
"217","[好雷] 曼哈頓戀習曲 ","catalyst"," 1/04","13"
"218","[問片] 活屍片","Arim"," 1/04","7"
"219","[新聞]連恩尼遜稱《即刻救援》慘害觀光業 ","kevinhft"," 1/04","34"
"220","Re: [片單] 爛到哭笑不得的爛片","sixx"," 1/04","3"
"221","[新聞] 《蜘蛛人3》流產？導演嘆「我試過了」痛","whj0530"," 1/04","X2"
"222","Re: [新聞] 《蜘蛛人3》流產？導演嘆「我試過了」痛","alljerry04"," 1/04","5"
"223","好雷 金剛──為美麗而死去的眾生們","kuja"," 1/04","2"
"224","Re: [片單] 爛到哭笑不得的爛片","ksking"," 1/04",""
"225","[負雷] 露西  這部片主軸是什麼 ","yiao"," 1/04","24"
"226","[新聞] 米奇無所不在！迪士尼動畫用心良苦","conpo"," 1/04","8"
"227","[新聞] 米高基頓談鳥人：可能不會再有這樣的體驗","sampsonlu919"," 1/04","3"
"228","Re: [討論] 對於台日韓影片的一些想法","taki121"," 1/04","3"
"229","[請益] stand by me哆啦A夢下映時間","wasizac"," 1/04","7"
"230","[片單] 有關職場性別的電影","kevin78791"," 1/04","19"
"231","[新聞] 不用放大了！《蟻人》釋出人類版前導預告","sampsonlu919"," 1/04","8"
"232","[討論] 今天的飛機上有蛇","Marcom"," 1/04","27"
"233","Re: [片單] 爛到哭笑不得的爛片","Samtiago"," 1/04","3"
"234","[好雷] 無人出席的告別式","imhermit"," 1/04","2"
"235","[新聞] 李政宰、全智賢出演的電影「暗殺」引發","pf775"," 1/04",""
"236","[新聞] 去年票房創20年來最冷！　好萊塢陷衰退","iam168888888"," 1/04","22"
"237","[新聞] 寶萊塢新片PK挑戰總收入1億美元","iam168888888"," 1/04","5"
"238","[好雷] 人生雙告急 - 噁爛雙人組","flowergone"," 1/04",""
"239","[討論] 災難片新作 \"加州大地震\" 中文預告","super1937"," 1/04","10"
"240","[好雷] 曼哈頓練習曲--綺拉奈特莉為電影清新開唱","beareni"," 1/04","4"
"241","[討論] 各位覺得Frozen最催淚的地方在哪?","fortamzic"," 1/04","43"
"242","[好無雷] 大英雄天團，大推4DX。","a2629397"," 1/04","4"
"243","[請益] 真愛繞圈圈 的台詞 (有雷)","iamwilliams"," 1/04",""
"244","[負雷] 等一個人咖啡","game1398"," 1/04","8"
"245","[爆炸大廢雷] 自由大道, 無聊的政治鬥爭","RyanGasoline"," 1/04","X1"
"246","[好雷] 大英雄天團","aokman"," 1/04","4"
"247","[片單] 日本的純愛電影","kktt254"," 1/04","68"
"248","[討論] 關於刺殺金正恩的10個有趣事實","scarlettC"," 1/04","2"
"249","Re: [片單] 爛到會哭笑不得的爛片","RrEpic"," 1/04","1"
"250","[問片] 一部探討人性的電影","agawei"," 1/04","3"
"251","Re: [閒聊] 關於冰雪奇緣在日本賣很好這件事","callcallABC"," 1/04","40"
"252","[問片] 一女跟兩男間的愛情故事","zhenjun0216"," 1/04","1"
"253","[好雷]《大英雄天團》宅宅全面出擊 ","ivan0511"," 1/04","1"
"254","[好雷] 今年目前最佳-大英雄天團","ooic"," 1/04","8"
"255","[普好雷] 大英雄天團","jone"," 1/04","3"
"256","[好雷] 我永遠不會放棄你：大英雄天團","ITASA"," 1/04","7"
"257","[討論] 丹.西蒙斯的小說適合or曾經改編成電影嗎?","Emerson158"," 1/05","13"
"258","[討論] 變形金剛4 真的有這麼爛？","danielwu13"," 1/05","82"
"259","[好雷] 大英雄天團 & 年少時代","profound"," 1/05","4"
"260","[好雷]《無人出席的告別式》 ","door1985"," 1/05","4"
"261","[討論] 太平輪史實+吐槽(有雷)","jason748"," 1/05","15"
"262","[片單] 對大眾價值觀提出另一論點的片","ourlostworld"," 1/05","43"
"263","[好雷]大英雄天團","j890355b"," 1/05","39"
"264","[討論] 為何決戰猩球沒有續集?","RainCityBoy"," 1/05","21"
"265","[微負雷]博物館驚魂夜3 ","rayjack"," 1/05","8"
"266","[請益] 2015 金球獎","sunnyrunkimo"," 1/05",""
"267","[問片] 女主角和他兒子在大賣場被威脅","vivaz"," 1/05","11"
"268","[請益] 捉迷藏(美國)","b9082"," 1/05","5"
"269","[好雷] 真愛繞圈圈","cora0128"," 1/05","12"
"270","Re: [問題] 錄到鬼4電視播出","deepjoy"," 1/05","9"
"271","[問片] 一個年長女同學 親樹","b9082"," 1/05","2"
"272","Re: [討論] 為何決戰猩球沒有續集?","yorkbuster"," 1/05","6"
"273","Fw: [新聞] 「一代宗師3D」 看得懂了","filmwalker"," 1/05","10"
"274","Re: [請益] 捉迷藏(美國)","lky610190"," 1/05",""
"275","[問片] 一部有關魔法師的片(Death by magic)","HomerSimpson"," 1/05","2"
"276","[情報] 2014北卡羅萊納影評人協會(NCFCA)得獎名單","bill93557063"," 1/05","7"
"277","[討論] 查克．史奈德－－給我一首歌的時間","a5378623"," 1/05","7"
"278","[負雷] 一生一世 大概是鋒哥演過最爛的片吧? ","redhorse"," 1/05","9"
"279","[討論] 請問舞力全開第三集適合國小高年級生看嗎","hmj0119dddd"," 1/05","8"
"280","[爛雷]第七傳人 ","fang36"," 1/05","14"
"281","[片單] 求類似「劍雨」的古裝武俠片","chuu0134"," 1/05","88"
"282","[問片] 我願化作石橋…（非劍雨）","xxx750926"," 1/05","5"
"283","[好雷] 哈比人3","sistar5566"," 1/05","13"
"284","Re: [閒聊] 關於冰雪奇緣在日本賣很好這件事","kobitos"," 1/05",""
"285","[Live]Cinemax 在播Back to The Future 123","WenD0732"," 1/05","6"
"286","[新聞] 大英雄「杯麵」發威　全台5900萬登新片冠","iam168888888"," 1/05","8"
"287","[新聞] 哈比人連3週稱霸北美 名嘴表現不俗","iam168888888"," 1/05","4"
"288","讓人覺得很經典、看不膩的片","d93vu"," 1/05","82"
"289","[情報] 1/2-1/4台北票房","phlie0915"," 1/05","5"
"290","[好雷] Begin Again 曼哈頓戀習曲","flattire"," 1/05","12"
"291","[負雷] [冏片]劫後餘生 2012","Toffy"," 1/05",""
"292","[情報] 2014 藝術指導公會(ADG)獎電影類入圍名單","bill93557063"," 1/05",""
"293","[討論] 搶走IMAX廳的第七傳人，週末票房炸了！…","SKnight"," 1/05","28"
"294","[新聞] 韓片《國際市場》累計觀影人數破700萬 ","pf775"," 1/05",""
"295","[討論] 掃毒(有雷)","knightz"," 1/05","7"
"296","[ 普雷] love rosie 真愛繞圈圈","look1225"," 1/05",""
"297","Re: [片單] 求類似「劍雨」的古裝武俠片","Iam5"," 1/05","9"
"298","[外電] 年終強檔分析－裘莉新片「永不屈服」","sampsonlu919"," 1/05","1"
"299","Re: [問片] 哪裹可看到刺殺金正恩","chirex"," 1/05","9"
"300","Re: [請益] 頂尖對決的幾個部分...??","o03213"," 1/05","1"
"301","[討論] 大家最喜歡Frozen哪ㄧ首歡樂的歌?","fortamzic"," 1/06","14"
"302","[討論] 瞞天殺機到底怎麼命名的？","Rise68"," 1/06","12"
"303","[討論] 有從頭到尾藏了很多巧思的好看電影嗎?","jaff8071"," 1/06","43"
"304","[贈票] 【美國狙擊手】贈票活動來囉!","elu6"," 1/06","爆"
"305","[情報] 2014 美國製片人公會(PGA)獎 電影類入圍名單","bill93557063"," 1/06",""
"306","[討論] 史嘉蕾喬韓森確認接演「攻殼機動隊」電影","beckseaton"," 1/06","36"
"307","Re: [絕雷] 和寂寞無涉卻和自由有關的寂寞星圖 ","bernicellu"," 1/06",""
"308","[片單] 悲傷好哭的電影 ","sockpuppet"," 1/06","爆"
"309","Re: [討論] 搶走IMAX廳的第七傳人，週末票房炸了！…","patiger"," 1/06","4"
"310","[問片] 碰到水長怪物","gigi0416"," 1/06","12"
"311","[問片] 殺警察的片","nittyhin"," 1/06","5"
"312","[好雷]推兩部「戰略迷魂」「哈比人:五軍之戰」 ","zunreada"," 1/06","2"
"313","Re: [片單] 爛到哭笑不得的爛片","wayne200135"," 1/06","3"
"314","[討論] YouTube看到的駭客任務惡搞","belleaya"," 1/06",""
"315","[情報] 2014奧克拉荷馬影評人協會(OFCC) 得獎名單","bill93557063"," 1/06","7"
